 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
    5.0140   2.2004  19.0264   0.2283   1.2055  0.47599E+04  0.47569E+04  0.29878E+01  0.52021E+04  0.22642E+00  0.10655E+03  0.50953E+04  0.10049E+01
    5.0140   1.5363  22.5408   0.1803   1.1769  0.25982E+04  0.25964E+04  0.18346E+01  0.30902E+04  0.13960E+01  0.11185E+03  0.29770E+04  0.10057E+01
    5.0140   1.0173  27.8321   0.1573   1.1801  0.13418E+04  0.13409E+04  0.83872E+00  0.17789E+04  0.35347E+01  0.11883E+03  0.16565E+04  0.10083E+01
    5.0140   2.1731  21.6010   0.2871   1.5304  0.25666E+04  0.25663E+04  0.24494E+00  0.27290E+04  0.15522E-01  0.47762E+02  0.26812E+04  0.10084E+01
    5.0140   1.5437  25.7761   0.2365   1.5403  0.14322E+04  0.14317E+04  0.54548E+00  0.16371E+04  0.95337E-01  0.49300E+02  0.15877E+04  0.10092E+01
    5.0140   1.0238  31.8949   0.2070   1.5501  0.76578E+03  0.76545E+03  0.32524E+00  0.96875E+03  0.29622E+00  0.55999E+02  0.91246E+03  0.10126E+01
    5.0140   2.0336  25.9629   0.3680   2.0581  0.96410E+03  0.96424E+03 -0.13398E+00  0.10009E+04  0.34910E-03  0.16371E+02  0.98454E+03  0.10153E+01
    5.0140   1.5395  31.7337   0.3540   2.3080  0.46773E+03  0.46776E+03 -0.29420E-01  0.50428E+03  0.41048E-03  0.11923E+02  0.49235E+03  0.10196E+01
    5.0140   1.0398  38.9690   0.3111   2.3202  0.28413E+03  0.28413E+03  0.30923E-02  0.33373E+03  0.21286E-02  0.15457E+02  0.31827E+03  0.10239E+01
