                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
    5.0140   2.2004  19.0264  0.25014E+04  0.27418E+04  0.89045E-01  0.26820E+04  0.27418E+04  0.89045E-01  0.26820E+04
    5.0140   1.5363  22.5408  0.13743E+04  0.16407E+04  0.20588E+00  0.15775E+04  0.16407E+04  0.20588E+00  0.15775E+04
    5.0140   1.0173  27.8321  0.71485E+03  0.95199E+03  0.54115E+00  0.88437E+03  0.95199E+03  0.54115E+00  0.88437E+03
    5.0140   2.1731  21.6010  0.13589E+04  0.14484E+04  0.12340E-01  0.14216E+04  0.14484E+04  0.12340E-01  0.14216E+04
    5.0140   1.5437  25.7761  0.76351E+03  0.87537E+03  0.47576E-01  0.84760E+03  0.87537E+03  0.47576E-01  0.84760E+03
    5.0140   1.0238  31.8949  0.41106E+03  0.52245E+03  0.82838E-01  0.49077E+03  0.52245E+03  0.82838E-01  0.49077E+03
    5.0140   2.0336  25.9629  0.51804E+03  0.53884E+03  0.43620E-03  0.52965E+03  0.53884E+03  0.43620E-03  0.52965E+03
    5.0140   1.5395  31.7337  0.25361E+03  0.27396E+03  0.42020E-03  0.26725E+03  0.27396E+03  0.42020E-03  0.26725E+03
    5.0140   1.0398  38.9690  0.15476E+03  0.18239E+03  0.16532E-02  0.17366E+03  0.18239E+03  0.16532E-02  0.17366E+03
