                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.6000   0.5363   2.5408  0.30147E+04  0.18869E+06  0.11605E+06  0.42163E+04  0.18869E+06  0.11605E+06  0.42163E+04
   10.6000   0.0173   7.8321  0.30924E+03  0.70605E+06  0.56318E+06  0.37083E+03  0.70605E+06  0.56318E+06  0.37083E+03
   10.6000   0.1731   1.6010  0.76822E+04  0.71943E+07  0.57284E+07  0.10350E+05  0.71943E+07  0.57284E+07  0.10350E+05
   10.6000   0.5437   5.7761  0.39990E+03  0.86172E+04  0.40131E+04  0.58049E+03  0.86172E+04  0.40131E+04  0.58049E+03
   10.6000   0.0238   1.8949  0.54031E+04  0.51786E+08  0.50677E+08  0.67478E+04  0.51786E+08  0.50677E+08  0.67478E+04
   10.6000   0.0336   5.9629  0.53278E+03  0.72220E+06  0.55637E+06  0.65158E+03  0.72220E+06  0.55637E+06  0.65158E+03
   10.6000   0.5395   1.7337  0.67699E+04  0.78238E+06  0.52863E+06  0.95166E+04  0.78238E+06  0.52863E+06  0.95166E+04
   10.6000   0.0398   8.9690  0.22440E+03  0.12259E+06  0.83486E+05  0.27544E+03  0.12259E+06  0.83486E+05  0.27544E+03
