 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
    5.0140   2.2004  19.0264   0.2283   1.2055  0.25014E+04  0.24997E+04  0.16626E+01  0.27418E+04  0.89045E-01  0.59777E+02  0.26820E+04  0.10034E+01
    5.0140   1.5363  22.5408   0.1803   1.1769  0.13743E+04  0.13733E+04  0.10197E+01  0.16407E+04  0.20588E+00  0.62940E+02  0.15775E+04  0.10039E+01
    5.0140   1.0173  27.8321   0.1573   1.1801  0.71485E+03  0.71439E+03  0.46598E+00  0.95199E+03  0.54115E+00  0.67080E+02  0.88437E+03  0.10058E+01
    5.0140   2.1731  21.6010   0.2871   1.5304  0.13589E+04  0.13588E+04  0.13647E+00  0.14484E+04  0.12340E-01  0.26784E+02  0.14216E+04  0.10058E+01
    5.0140   1.5437  25.7761   0.2365   1.5403  0.76351E+03  0.76321E+03  0.30369E+00  0.87537E+03  0.47576E-01  0.27723E+02  0.84760E+03  0.10064E+01
    5.0140   1.0238  31.8949   0.2070   1.5501  0.41106E+03  0.41088E+03  0.18109E+00  0.52245E+03  0.82838E-01  0.31595E+02  0.49077E+03  0.10088E+01
    5.0140   2.0336  25.9629   0.3680   2.0581  0.51804E+03  0.51812E+03 -0.74956E-01  0.53884E+03  0.43620E-03  0.91816E+01  0.52965E+03  0.10105E+01
    5.0140   1.5395  31.7337   0.3540   2.3080  0.25361E+03  0.25363E+03 -0.16486E-01  0.27396E+03  0.42020E-03  0.67045E+01  0.26725E+03  0.10135E+01
    5.0140   1.0398  38.9690   0.3111   2.3202  0.15476E+03  0.15476E+03  0.17313E-02  0.18239E+03  0.16532E-02  0.87229E+01  0.17366E+03  0.10165E+01
