 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.6000   0.5363   2.5408   0.0006   0.0112  0.30147E+04  0.30147E+04  0.28604E-05  0.18869E+06  0.11605E+06  0.68424E+05  0.42163E+04  0.10000E+01
   10.6000   0.0173   7.8321   0.0002   0.0034  0.30924E+03  0.30924E+03  0.43964E-08  0.70605E+06  0.56318E+06  0.14250E+06  0.37083E+03  0.10000E+01
   10.6000   0.1731   1.6010   0.0001   0.0014  0.76822E+04  0.76822E+04  0.73826E-06  0.71943E+07  0.57284E+07  0.14555E+07  0.10350E+05  0.10000E+01
   10.6000   0.5437   5.7761   0.0031   0.0585  0.39990E+03  0.39990E+03  0.85472E-06  0.86172E+04  0.40131E+04  0.40236E+04  0.58049E+03  0.10000E+01
   10.6000   0.0238   1.8949   0.0000   0.0003  0.54031E+04  0.54031E+04  0.29686E-07  0.51786E+08  0.50677E+08  0.11018E+07  0.67478E+04  0.10000E+01
   10.6000   0.0336   5.9629   0.0002   0.0039  0.53278E+03  0.53278E+03  0.15712E-07  0.72220E+06  0.55637E+06  0.16518E+06  0.65158E+03  0.10000E+01
   10.6000   0.5395   1.7337   0.0003   0.0052  0.67699E+04  0.67699E+04  0.44433E-05  0.78238E+06  0.52863E+06  0.24423E+06  0.95166E+04  0.10000E+01
   10.6000   0.0398   8.9690   0.0005   0.0103  0.22440E+03  0.22440E+03  0.12932E-07  0.12259E+06  0.83486E+05  0.38829E+05  0.27544E+03  0.10000E+01
