                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
    5.0140   2.2004  19.0264  0.47599E+04  0.52021E+04  0.22642E+00  0.50953E+04  0.52021E+04  0.22642E+00  0.50953E+04
    5.0140   1.5363  22.5408  0.25982E+04  0.30902E+04  0.13960E+01  0.29770E+04  0.30902E+04  0.13960E+01  0.29770E+04
    5.0140   1.0173  27.8321  0.13418E+04  0.17789E+04  0.35347E+01  0.16565E+04  0.17789E+04  0.35347E+01  0.16565E+04
    5.0140   2.1731  21.6010  0.25666E+04  0.27290E+04  0.15522E-01  0.26812E+04  0.27290E+04  0.15522E-01  0.26812E+04
    5.0140   1.5437  25.7761  0.14322E+04  0.16371E+04  0.95337E-01  0.15877E+04  0.16371E+04  0.95337E-01  0.15877E+04
    5.0140   1.0238  31.8949  0.76578E+03  0.96875E+03  0.29622E+00  0.91246E+03  0.96875E+03  0.29622E+00  0.91246E+03
    5.0140   2.0336  25.9629  0.96410E+03  0.10009E+04  0.34910E-03  0.98454E+03  0.10009E+04  0.34910E-03  0.98454E+03
    5.0140   1.5395  31.7337  0.46773E+03  0.50428E+03  0.41048E-03  0.49235E+03  0.50428E+03  0.41048E-03  0.49235E+03
    5.0140   1.0398  38.9690  0.28413E+03  0.33373E+03  0.21286E-02  0.31827E+03  0.33373E+03  0.21286E-02  0.31827E+03
